protein_id	suprfam_id	description	Evals
Eucgr.D01580.1.p	0037832	0037832[Prefoldin]	0037832[1.7e-17]
Eucgr.D01589.1.p		-	-
Eucgr.D01596.1.p	0045974,0053686,0041848	0045974["Winged helix" DNA-binding domain]; 0053686[P-loop containing nucleoside triphosphate hydrolases]; 0041848[L domain-like]	0045974[1.85e-06]; 0053686[2.56e-55]; 0041848[3.23e-06]
Eucgr.D01608.1.p	0049913	0049913[RmlC-like cupins]	0049913[1.64e-45]
Eucgr.D01624.1.p	0044931	0044931[FAD-binding/transporter-associated domain-like]	0044931[2.99e-28]
Eucgr.D01628.1.p	0048449,0048255	0048449[DNA primase core]; 0048255[P-loop containing nucleoside triphosphate hydrolases]	0048449[2.62e-21]; 0048255[8.64e-19]
Eucgr.D01628.2.p	0048449,0048255	0048449[DNA primase core]; 0048255[P-loop containing nucleoside triphosphate hydrolases]	0048449[2.62e-21]; 0048255[8.73e-18]
Eucgr.D01640.1.p	0035563	0035563[Thiolase-like]	0035563[1.61e-11]
Eucgr.E00001.1.p	0039935	0039935[NAD(P)-binding Rossmann-fold domains]	0039935[3.34e-54]
Eucgr.E00016.1.p		-	-
Eucgr.E00025.1.p	0044416	0044416[P-loop containing nucleoside triphosphate hydrolases]	0044416[8.48e-55]
Eucgr.E00028.1.p	0051642,0054395	0051642[TPR-like]; 0054395[TPR-like]	0051642[0.000325]; 0054395[0.000196]
Eucgr.E00031.1.p		-	-
Eucgr.E00035.1.p		-	-
Eucgr.E00051.1.p	0049906	0049906[EF-hand]	0049906[3.23e-40]
Eucgr.E00051.2.p	0049906	0049906[EF-hand]	0049906[3.23e-40]
Eucgr.E00071.1.p		-	-
Eucgr.E00090.1.p	0046186	0046186[(Trans)glycosidases]	0046186[1.55e-90]
Eucgr.E00091.1.p	0046186	0046186[(Trans)glycosidases]	0046186[5.99e-97]
Eucgr.E00095.1.p	0051044	0051044[LEA14-like]	0051044[1.44e-05]
Eucgr.E00133.1.p	0048172	0048172[Adenine nucleotide alpha hydrolases-like]	0048172[0.000147]
Eucgr.E00141.1.p	0046094,0046093,0050530	0046094[Thioesterase/thiol ester dehydrase-isomerase]; 0046093[Thioesterase/thiol ester dehydrase-isomerase]; 0050530[cAMP-binding domain-like]	0046094[1.49e-42]; 0046093[5.03e-31]; 0050530[5.63e-17]
Eucgr.E00141.2.p	0046094,0046093,0050530	0046094[Thioesterase/thiol ester dehydrase-isomerase]; 0046093[Thioesterase/thiol ester dehydrase-isomerase]; 0050530[cAMP-binding domain-like]	0046094[1.92e-45]; 0046093[4.94e-31]; 0050530[5.5e-17]
Eucgr.E00148.1.p	0047619,0048505,0041848	0047619[L domain-like]; 0048505[L domain-like]; 0041848[L domain-like]	0047619[3.4e-25]; 0048505[4.76e-52]; 0041848[9.01e-56]
Eucgr.E00160.1.p	0053626	0053626[Barwin-like endoglucanases]	0053626[6.63e-11]
Eucgr.E00171.1.p		-	-
Eucgr.E00173.1.p		-	-
Eucgr.E00184.1.p	0052765	0052765[HAD-like]	0052765[7.66e-46]
Eucgr.E00195.1.p	0050495	0050495[C2 domain (Calcium/lipid-binding domain, CaLB)]	0050495[1.93e-15]
Eucgr.E00201.1.p		-	-
Eucgr.E00210.1.p	0042197	0042197[S-adenosyl-L-methionine-dependent methyltransferases]	0042197[4.62e-24]
Eucgr.E00219.1.p		-	-
Eucgr.E00224.1.p		-	-
Eucgr.E00229.1.p		-	-
Eucgr.E00229.2.p		-	-
Eucgr.E00241.1.p	0035371,0041848	0035371[Protein kinase-like (PK-like)]; 0041848[L domain-like]	0035371[4.1e-63]; 0041848[2.38e-59]
Eucgr.E00246.1.p	0047429	0047429[Homeodomain-like]	0047429[1.79e-15]
Eucgr.E00246.2.p	0047429	0047429[Homeodomain-like]	0047429[1.67e-15]
Eucgr.E00250.1.p		-	-
